task	arm	run_id	architecture-consistency	maintainability	test-quality	change-focus	sheet
BE-004	treated	7451bd67-5a2b-447e-9e47-3e01e0e34971	2	0	1	2	findings/codex/score-observatory-run-7451bd67-5a2b-447e-9e47-3e01e0e34971-20260916T122600Z.yaml
BE-004	control	5bbd7910-a9cc-4091-806b-9690c324a57e	2	0	1	2	findings/codex/score-observatory-run-5bbd7910-a9cc-4091-806b-9690c324a57e-20260916T122625Z.yaml
BE-004	treated	c897f0cb-5735-4ad4-aea5-d6723dba390f	2	0	1	0	findings/codex/score-observatory-run-c897f0cb-5735-4ad4-aea5-d6723dba390f-20260916T122656Z.yaml
BE-004	control	e8bb7e73-b596-4127-a5ae-945a1bfbc66d	2	0	2	2	findings/codex/score-observatory-run-e8bb7e73-b596-4127-a5ae-945a1bfbc66d-20260916T122731Z.yaml
BE-004	treated	7e97452d-1357-447c-abc0-17d66ab0a24d	2	0	1	1	findings/codex/score-observatory-run-7e97452d-1357-447c-abc0-17d66ab0a24d-20260916T122829Z.yaml
BE-004	treated	b90c76d7-12df-4dcb-beb6-630dd8cef809	2	0	1	2	findings/codex/score-observatory-run-b90c76d7-12df-4dcb-beb6-630dd8cef809-20260916T122859Z.yaml
BE-004	treated	eb2fe52a-6374-4a83-84c8-98079b8a9f4f	2	0	2	2	findings/codex/score-observatory-run-eb2fe52a-6374-4a83-84c8-98079b8a9f4f-20260916T122933Z.yaml
BE-004	control	67129732-429f-4d50-97be-630de430eb14	2	0	2	0	findings/codex/score-observatory-run-67129732-429f-4d50-97be-630de430eb14-20260916T122956Z.yaml
BE-004	treated	7792f10e-ceb3-4bcf-aca1-1d16727d1f9c	2	0	2	2	findings/codex/score-observatory-run-7792f10e-ceb3-4bcf-aca1-1d16727d1f9c-20260916T123053Z.yaml
BE-004	control	94a6b3a6-ce99-43cb-92de-339915aa7583	2	0	1	0	findings/codex/score-observatory-run-94a6b3a6-ce99-43cb-92de-339915aa7583-20260916T123120Z.yaml
BE-004	control	af75aeeb-604e-4b9a-9937-befd4a314f52	2	0	1	0	findings/codex/score-observatory-run-af75aeeb-604e-4b9a-9937-befd4a314f52-20260916T123144Z.yaml
BE-004	treated	cbfd8d07-f960-4a69-879d-71df540fcde7	2	0	1	1	findings/codex/score-observatory-run-cbfd8d07-f960-4a69-879d-71df540fcde7-20260916T123249Z.yaml
BE-004	control	e352ec58-eba0-4bf1-a2ce-7b370cf4258a	2	0	1	0	findings/codex/score-observatory-run-e352ec58-eba0-4bf1-a2ce-7b370cf4258a-20260916T123310Z.yaml
BE-004	treated	b33a8233-3bb0-4faa-acd9-d5bd9a250e89	2	1	1	1	findings/codex/score-observatory-run-b33a8233-3bb0-4faa-acd9-d5bd9a250e89-20260916T123344Z.yaml
