# B7 REGISTERED BATCH 20260910T183731Z  n=10 per arm per task, interleaved (author decision 9)
# treated overlay f432abbcbf1f3b90ec4dd801a23c333a5f7e6c40fe0b54b11fd5689f9938cbca
# expected agentHash on BOTH arms: sha256:b3450564b6f32d6193e8580db766210e
# claude 2.1.267 at launch, model claude-haiku-4-5-20251001
# prediction commit ea7b1d2 at 2026-09-10T09:51:08Z, BEFORE any run here
task	seq	arm	run_id	make_rc	evaluator_exit	f13	edits	worktree	agent_hash	settings_tracked	policy_log	policy_lines	model_calls	init_tools
BE-003	06	treated	b2f29bf3-ad1c-4334-9984-358ed480271b	0	0	no	3	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-b2f29bf3-ad1c-4334-9984-358ed480271b	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	3	20	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	06	control	a795ca84-ee77-42f4-a0a3-a840199a1778	0	0	no	4	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-a795ca84-ee77-42f4-a0a3-a840199a1778	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	20	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	07	treated	d71b683b-31ee-4b18-8990-ae729930eeba	0	0	no	3	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-d71b683b-31ee-4b18-8990-ae729930eeba	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	3	23	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	07	control	52962863-d74c-4128-8657-007c0c81d00e	0	0	no	3	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-52962863-d74c-4128-8657-007c0c81d00e	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	21	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	08	treated	2f450b33-166a-4165-929c-eba314897b0a	0	0	no	3	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-2f450b33-166a-4165-929c-eba314897b0a	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	3	23	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	08	control	8142283c-6b5d-4382-a6be-2a633ee6159d	0	0	no	3	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-8142283c-6b5d-4382-a6be-2a633ee6159d	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	20	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	09	treated	a9c17b01-6357-4035-b52a-35f360f04e91	0	0	no	3	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-a9c17b01-6357-4035-b52a-35f360f04e91	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	3	19	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	09	control	710f3924-cf77-49b8-99c4-b57dd1a540c4	0	0	no	4	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-710f3924-cf77-49b8-99c4-b57dd1a540c4	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	18	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	10	treated	e8021759-020e-4d43-95fa-4af37def3d53	0	0	no	3	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-e8021759-020e-4d43-95fa-4af37def3d53	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	3	20	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	10	control	05b90978-4b4f-41b4-81b2-d3311086aec3	0	0	no	3	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-05b90978-4b4f-41b4-81b2-d3311086aec3	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	21	n=4 ["Read","Edit","Write","Bash"]/match
BE-004	01	treated	e0075ad9-80e1-44a0-be83-d25f28c9eca1	0	0	no	7	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-e0075ad9-80e1-44a0-be83-d25f28c9eca1	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	7	26	n=4 ["Read","Edit","Write","Bash"]/match
BE-004	01	control	13a9ee1a-8586-4d15-8286-caab46aefd38	0	0	no	7	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-13a9ee1a-8586-4d15-8286-caab46aefd38	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	29	n=4 ["Read","Edit","Write","Bash"]/match
BE-004	02	treated	c0589938-4a31-43f0-8a99-d250e6697019	0	0	no	10	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-c0589938-4a31-43f0-8a99-d250e6697019	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	10	34	n=4 ["Read","Edit","Write","Bash"]/match
BE-004	02	control	0b70425d-2ca3-4cb3-9d9f-1a6b107ec325	0	0	no	7	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-0b70425d-2ca3-4cb3-9d9f-1a6b107ec325	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	31	n=4 ["Read","Edit","Write","Bash"]/match
BE-004	03	treated	3d1e77c2-ceb0-4ad5-a6ed-7b37833bf247	0	0	no	7	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-3d1e77c2-ceb0-4ad5-a6ed-7b37833bf247	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	7	28	n=4 ["Read","Edit","Write","Bash"]/match
BE-004	03	control	c0327a61-0bb7-49d2-96db-a011674b464e	0	0	no	7	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-c0327a61-0bb7-49d2-96db-a011674b464e	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	34	n=4 ["Read","Edit","Write","Bash"]/match
BE-004	04	treated	b8e322e3-b79c-4fe6-9886-e70bc9c8f60b	0	0	no	10	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-b8e322e3-b79c-4fe6-9886-e70bc9c8f60b	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	10	27	n=4 ["Read","Edit","Write","Bash"]/match
BE-004	04	control	3d6ef618-7e55-4159-892a-94d518d1b6d6	0	0	no	7	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-3d6ef618-7e55-4159-892a-94d518d1b6d6	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	28	n=4 ["Read","Edit","Write","Bash"]/match
BE-004	05	treated	82b31390-ff31-4053-b33f-41db07426266	0	0	no	7	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-82b31390-ff31-4053-b33f-41db07426266	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	7	28	n=4 ["Read","Edit","Write","Bash"]/match
BE-004	05	control	16024760-0927-4c47-917f-a3ad25dcbfce	0	0	no	7	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-16024760-0927-4c47-917f-a3ad25dcbfce	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	19	n=4 ["Read","Edit","Write","Bash"]/match
BE-004	06	treated	502097f9-9099-487a-ab14-79ce045461cc	0	0	no	7	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-502097f9-9099-487a-ab14-79ce045461cc	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	7	30	n=4 ["Read","Edit","Write","Bash"]/match
BE-004	06	control	80e5037e-f8f4-4c0e-8292-79f323d85d44	0	0	no	14	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-80e5037e-f8f4-4c0e-8292-79f323d85d44	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	38	n=4 ["Read","Edit","Write","Bash"]/match
BE-004	07	treated	0ee35b0e-a36e-4d00-854e-f78c2f6b560c	0	0	no	7	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-0ee35b0e-a36e-4d00-854e-f78c2f6b560c	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	7	29	n=4 ["Read","Edit","Write","Bash"]/match
BE-004	07	control	2635dc3b-6be9-44cb-a95f-387fb8471696	0	0	no	7	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-2635dc3b-6be9-44cb-a95f-387fb8471696	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	29	n=4 ["Read","Edit","Write","Bash"]/match
